"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TNFAIP1",0.777543196721313,6.870315859375,9.22320578558769,6.73062949389474e-16,1.21772619766465e-13,25.6577225732022
"RAD9A",0.847886693989072,6.818408671875,9.21835866091362,6.91713637693794e-16,1.24191639378306e-13,25.6309855126626
"SUPT5H",0.682534863387977,7.662489375,9.21679364338723,6.97844774555245e-16,1.24343250738935e-13,25.6223533581007
"ITFG3",0.891954617486339,7.028822578125,9.20414528792926,7.49425135425123e-16,1.32529918685706e-13,25.5525994608533
"TNFAIP2",0.980974549180328,5.5751213671875,9.20149061125236,7.6072413613983e-16,1.33524117029916e-13,25.537961682347
"CPSF3L /// MIR6727",0.512864936247717,7.30446994791667,9.19096525308223,8.07218172579515e-16,1.40635343844964e-13,25.4799334910942
"BLOC1S1",1.15237172131148,8.708089296875,9.1837319667861,8.40800867519634e-16,1.45409091206337e-13,25.440062711718
"JUP",1.04243387978142,7.887673125,9.17284782953691,8.9397458929532e-16,1.53476513432306e-13,25.3800797650946
"CHD8",1.02383483606557,5.937317578125,9.16032620613444,9.59304299863233e-16,1.63498819802777e-13,25.311090182299
"STARD3",0.688313469945357,5.782882109375,9.14516894812201,1.04477850276446e-15,1.76785542338274e-13,25.2276046380715
"GORASP1",0.58362575136612,5.1102499609375,9.10976868476781,1.27511840184814e-15,2.14219891510488e-13,25.0327313446821
"CHCHD10",1.09558636612022,10.708342421875,9.0901042168064,1.42424992274267e-15,2.37577008389415e-13,24.9245487482882
"PRDM9",0.732140846994534,3.022980078125,9.08662265753438,1.45240814420905e-15,2.40567884167584e-13,24.9054002891693
"KCTD1",0.572116345628414,4.20655130859375,9.0832683371821,1.48006160276818e-15,2.43433908371381e-13,24.8869530925196
"LENG8",1.69096890710382,6.26105640625,9.07159002603322,1.58049456640224e-15,2.581474458457e-13,24.8227389942534
"RELA",0.81365777322404,6.7431308984375,9.06059610048922,1.68123519984305e-15,2.72707944140059e-13,24.7623039757386
"KLHL26",0.996518852459015,5.08006703125,9.05563623867962,1.72875326531341e-15,2.78495046576516e-13,24.7350440651098
"PITRM1",0.622352349726777,6.06701875,9.03638608110644,1.92619463623757e-15,3.08191141798011e-13,24.6292733826095
"DMPK",0.654865273224042,4.872476796875,9.018800493218,2.12612142188311e-15,3.37880917856018e-13,24.5326910102581
"MBOAT7",0.527664740437154,6.3420487890625,8.99690158789079,2.40420242408903e-15,3.79509000097812e-13,24.4124764069996
"RBM23",0.831129672131148,8.06330546875,8.9879417553558,2.52816014021111e-15,3.96415509985103e-13,24.3633096004885
"S100A16",0.617689207650269,9.951953359375,8.96102167947505,2.94019701116462e-15,4.57969759619813e-13,24.2156515950195
"ATP5J2",0.736049453551912,4.74257046875,8.9590393974073,2.97305686518176e-15,4.60041430717598e-13,24.2047825643843
"CLTB",0.642204248633877,6.4263155078125,8.92164183614394,3.66624833847257e-15,5.62964996239574e-13,23.9998296112992
"ZNF337",0.66805833333333,6.277784765625,8.92067873655403,3.68608033252102e-15,5.62964996239574e-13,23.9945540159431
"RAB5B",0.878054918032785,7.10603109375,8.90595207119115,4.00297838963747e-15,6.07419688543698e-13,23.9139015486578
"MLLT6",0.638377896174862,5.51243059895833,8.90139191788681,4.10650073769202e-15,6.19133957375105e-13,23.8889334623919
"SLC38A7",0.680289016393442,5.75155171875,8.87513637066388,4.7565454718861e-15,7.125729267437e-13,23.7452344700186
"MAN1B1",0.558565587431693,6.9721944921875,8.83258973660917,6.03422008311846e-15,8.98258584524976e-13,23.512583067619
"CARKD",0.944484371584696,9.07317,8.81458281618799,6.67297199635725e-15,9.87096234932846e-13,23.4141980658103
"FAM89B",0.692894098360653,7.3184621875,8.79996689588739,7.24058093610275e-15,1.0643653976071e-12,23.3343758484723
"HMGXB3",0.512939603825134,6.7005922265625,8.78458403797426,7.88993260105002e-15,1.15261624084905e-12,23.2503995677807
"SDC3",1.00649892076502,5.8857876171875,8.77963323755676,8.11100438914617e-15,1.17759767427604e-12,23.2233803008224
"GRINA",1.23230704918032,7.32693765625,8.767916055727,8.65909009178771e-15,1.24945888931808e-12,23.1594478803708
"VAT1",0.827314262295078,8.62440890625,8.76567187947291,8.76819521405151e-15,1.2574875087469e-12,23.1472053627497
"FAM214B",0.545042459016393,6.50812359375,8.76349238183232,8.87546522104658e-15,1.26515722423646e-12,23.1353164150029
"UBA1",0.906532500000001,6.7843937890625,8.7514536601689,9.49194869768928e-15,1.34488333355212e-12,23.0696594028838
"DNAJC11",0.520916311475407,6.573060859375,8.74209972448716,1.00002107139676e-14,1.40841291013484e-12,23.0186600415976
"DDRGK1",0.529366229508198,8.0621821875,8.73899362996285,1.01749050497575e-14,1.42448670696605e-12,23.0017280230346
"PEX19",0.831244166666664,8.2695604296875,8.73610994298717,1.03398078708284e-14,1.43900758060286e-12,22.9860097291142
"FAM86B1 /// FAM86B2 /// FAM86C1 /// FAM86DP /// FAM86FP",1.13191792349727,5.7284409375,8.73444566697267,1.04361866132893e-14,1.44387711261508e-12,22.9769387393146
"CIRBP-AS1",0.680613948087432,4.5531293359375,8.72821964053962,1.08047324310675e-14,1.48612460104508e-12,22.9430081290365
"RHBDD1",0.451496491803279,5.62598759375,8.72357104668149,1.10883221002195e-14,1.51626358021607e-12,22.9176781309356
"FAM222B",0.739088642987246,5.961801640625,8.70125580364776,1.25562369258249e-14,1.70706758667862e-12,22.7961301815717
"LBX2-AS1",1.07900095628415,7.013819453125,8.69657708655439,1.28877134163692e-14,1.74206333076439e-12,22.7706557748325
"SH3GL1",0.620058961748634,7.55906703125,8.69497773057588,1.30030095660333e-14,1.74760448567488e-12,22.7619484853086
"FAM189B",0.425505846994535,5.08743609375,8.68412861381096,1.38126734273364e-14,1.84587544892586e-12,22.7028938800093
"ATP6V0E2",1.10676489071038,8.953021953125,8.66656355285974,1.52312098407293e-14,2.02394381612403e-12,22.6073222545103
"GHDC",1.02993489071038,5.929508359375,8.66431981114857,1.54225527962696e-14,2.03785641442843e-12,22.595117587868
"ADAT3",0.569464685792349,5.3470701953125,8.65459724849832,1.62796959013842e-14,2.13909747262881e-12,22.5422417653874
"WBP2",1.63416360655738,7.2680871875,8.63292105534436,1.83651045295558e-14,2.39970699186196e-12,22.4244114671038
"ELK1",0.566576238615667,5.17959908854167,8.6268636227048,1.89939844573436e-14,2.46816858804819e-12,22.3914973252774
